category,image_id,image_path,ecg_id,layout,status,error,method,cosine_similarity,mean_abs_probability_difference,agreement_rate
photos_iphone,14,photos_iphone/img_14_page_0.jpeg,LPAE_17226_hr,3x4+1R,success,,tiled,0.8080893754959106,0.07484494894742966,0.9533333333333334
photos_iphone,14,photos_iphone/img_14_page_0.jpeg,LPAE_17226_hr,3x4+1R,success,,segment_ensemble,0.8937253355979919,0.05211455374956131,0.9733333333333334
photos_samsung,14,photos_samsung/img_14_page_0.jpeg,LPAE_17226_hr,3x4+1R,success,,tiled,0.8951219916343689,0.05493193864822388,0.9666666666666667
photos_samsung,14,photos_samsung/img_14_page_0.jpeg,LPAE_17226_hr,3x4+1R,success,,segment_ensemble,0.9842074513435364,0.01629515551030636,0.9866666666666667
photos_scans,14,photos_scans/img_14_page_0.jpeg,LPAE_17226_hr,3x4+1R,success,,tiled,0.680554986000061,0.09499916434288025,0.9266666666666666
photos_scans,14,photos_scans/img_14_page_0.jpeg,LPAE_17226_hr,3x4+1R,success,,segment_ensemble,0.7437695860862732,0.08334352821111679,0.9666666666666667
photos_screens,14,photos_screens/img_14_page_0.jpeg,LPAE_17226_hr,3x4+1R,success,,tiled,0.8312394618988037,0.07132285833358765,0.96
photos_screens,14,photos_screens/img_14_page_0.jpeg,LPAE_17226_hr,3x4+1R,success,,segment_ensemble,0.8975217342376709,0.04762362688779831,0.9733333333333334
photos_bents,40,photos_bents/img_40_page_0.jpeg,LPAE_09275_hr,3x4+1R,success,,tiled,0.7243828773498535,0.07822512835264206,0.94
photos_bents,40,photos_bents/img_40_page_0.jpeg,LPAE_09275_hr,3x4+1R,success,,segment_ensemble,0.8882609009742737,0.05344831570982933,0.9533333333333334
photos_crumbles,40,photos_crumbles/img_40_page_0.jpeg,LPAE_09275_hr,3x4+1R,success,,tiled,0.7476407885551453,0.07850538939237595,0.9466666666666667
photos_crumbles,40,photos_crumbles/img_40_page_0.jpeg,LPAE_09275_hr,3x4+1R,success,,segment_ensemble,0.8208979964256287,0.06331692636013031,0.9533333333333334
photos_doogee,40,photos_doogee/img_40_page_0.jpeg,LPAE_09275_hr,3x4+1R,success,,tiled,0.9566252827644348,0.0263799000531435,0.9866666666666667
photos_doogee,40,photos_doogee/img_40_page_0.jpeg,LPAE_09275_hr,3x4+1R,success,,segment_ensemble,0.9839586019515991,0.015880417078733444,0.98
photos_iphone,40,photos_iphone/img_40_page_0.jpeg,LPAE_09275_hr,3x4+1R,success,,tiled,0.9649308919906616,0.027698295190930367,0.98
photos_iphone,40,photos_iphone/img_40_page_0.jpeg,LPAE_09275_hr,3x4+1R,success,,segment_ensemble,0.9867238402366638,0.016245685517787933,0.9733333333333334
photos_samsung,40,photos_samsung/img_40_page_0.jpeg,LPAE_09275_hr,3x4+1R,success,,tiled,0.9341290593147278,0.033076558262109756,0.98
photos_samsung,40,photos_samsung/img_40_page_0.jpeg,LPAE_09275_hr,3x4+1R,success,,segment_ensemble,0.9859630465507507,0.01972644403576851,0.9733333333333334
photos_scans,40,photos_scans/img_40_page_0.jpeg,LPAE_09275_hr,3x4+1R,success,,tiled,0.9579287171363831,0.026163211092352867,0.9733333333333334
photos_scans,40,photos_scans/img_40_page_0.jpeg,LPAE_09275_hr,3x4+1R,success,,segment_ensemble,0.988632082939148,0.01316557452082634,0.9666666666666667
photos_screens,40,photos_screens/img_40_page_0.jpeg,LPAE_09275_hr,3x4+1R,success,,tiled,0.793706476688385,0.07073195278644562,0.9533333333333334
photos_screens,40,photos_screens/img_40_page_0.jpeg,LPAE_09275_hr,3x4+1R,success,,segment_ensemble,0.9509157538414001,0.04164649173617363,0.9666666666666667
photos_bents,42,photos_bents/img_42_page_0.jpeg,LPAE_09545_hr,3x4+1R,success,,tiled,0.7579329013824463,0.07496191561222076,0.94
photos_bents,42,photos_bents/img_42_page_0.jpeg,LPAE_09545_hr,3x4+1R,success,,segment_ensemble,0.8758267760276794,0.05538603290915489,0.9733333333333334
photos_crumbles,42,photos_crumbles/img_42_page_0.jpeg,LPAE_09545_hr,3x4+1R,success,,tiled,0.9118127226829529,0.0457456149160862,0.98
photos_crumbles,42,photos_crumbles/img_42_page_0.jpeg,LPAE_09545_hr,3x4+1R,success,,segment_ensemble,0.9548936486244202,0.033704932779073715,1.0
photos_doogee,42,photos_doogee/img_42_page_0.jpeg,LPAE_09545_hr,3x4+1R,success,,tiled,0.976015567779541,0.020419014617800713,1.0
photos_doogee,42,photos_doogee/img_42_page_0.jpeg,LPAE_09545_hr,3x4+1R,success,,segment_ensemble,0.9958876967430115,0.007685619406402111,0.9933333333333333
photos_iphone,42,photos_iphone/img_42_page_0.jpeg,LPAE_09545_hr,3x4+1R,success,,tiled,0.9433502554893494,0.030139895156025887,0.9733333333333334
photos_iphone,42,photos_iphone/img_42_page_0.jpeg,LPAE_09545_hr,3x4+1R,success,,segment_ensemble,0.9885498881340027,0.01152544841170311,1.0
