category,image_id,image_path,ecg_id,layout,status,elapsed_seconds,error,layout_name,nonzero_leads_count,einthoven_score,median_correlation,mean_correlation,minimum_correlation,median_normalized_rmse,median_rmse_mv,median_snr_db,median_gain_ratio
photos_bents,4,photos_bents/img_4_page_0.jpeg,LPAE_20999_hr,3x4+1R,success,8.690110249997815,,3x4+1R,12,0.04325081439444374,0.804593191826912,0.7196191660528806,0.27894374735017957,0.6246447425741355,0.08255038799092765,3.634063586770834,0.9496994063871527
photos_crumbles,4,photos_crumbles/img_4_page_0.jpeg,LPAE_20999_hr,3x4+1R,success,8.765487541997572,,3x4+1R,12,-0.18423759605007703,0.6549889504460074,0.6376568252966648,0.017096715751218513,0.8305504520562181,0.10732762271068932,1.5237428132947435,0.9150056646956688
photos_doogee,4,photos_doogee/img_4_page_0.jpeg,LPAE_20999_hr,3x4+1R,success,8.634055542002898,,3x4+1R,12,0.6070236084742712,0.9576019013051305,0.9292005743816082,0.6591910033666175,0.29113899228748896,0.052666104793208435,9.138564741999645,0.9337599607693973
photos_iphone,4,photos_iphone/img_4_page_0.jpeg,LPAE_20999_hr,3x4+1R,success,14.729576583005837,,3x4+1R,12,0.032977279583334754,0.9722204887866815,0.9563676999975975,0.8507712648755028,0.2348603088528805,0.044526368847260175,10.494183047846946,0.9283014411084883
photos_samsung,4,photos_samsung/img_4_page_0.jpeg,LPAE_20999_hr,3x4+1R,success,8.084824332996504,,3x4+1R,12,0.6149306890766023,0.9552052392002356,0.9486340580640502,0.8999524112811734,0.29594780895167316,0.051594916052648265,8.725885677999187,0.9225490752581149
photos_scans,4,photos_scans/img_4_page_0.jpeg,LPAE_20999_hr,3x4+1R,success,16.297565375003614,,3x4+1R,12,0.9513528997415389,0.9832111895681739,0.9781369370786567,0.9210222209573916,0.1826404612243727,0.03546482903081633,11.46029076835478,0.9279502263287762
photos_screens,4,photos_screens/img_4_page_0.jpeg,LPAE_20999_hr,3x4+1R,success,17.02047054200375,,3x4+1R,12,0.5150819648059832,0.8591751979624114,0.852272621393836,0.6662435922876961,0.5306620518978146,0.08354686489150255,5.512316843725346,0.8732036113008388
photos_bents,10,photos_bents/img_10_page_0.jpeg,LPAE_04827_hr,3x4+1R,success,12.939003124993178,,3x4+1R,12,-0.059736136999162914,0.5385185579078231,0.40299796514998015,-0.017341422839009225,0.9602087874271688,0.17276084035094597,0.6438500171287465,0.7748513215724211
photos_crumbles,10,photos_crumbles/img_10_page_0.jpeg,LPAE_04827_hr,3x4+1R,success,6.286698999989312,,3x4+1R,12,0.10793426541797031,0.7155125964566936,0.7309730709889931,0.46496800356024165,0.7542867650922848,0.13319106389026814,2.4073789653018767,0.8468616856659344
photos_doogee,10,photos_doogee/img_10_page_0.jpeg,LPAE_04827_hr,3x4+1R,success,7.77156512500369,,3x4+1R,11,0.024167234382364542,0.9424622169386292,0.6648581399143999,-0.046860580296035105,0.337571200689218,0.09950739091109673,6.94738700646951,0.8905053919233149
photos_iphone,10,photos_iphone/img_10_page_0.jpeg,LPAE_04827_hr,3x4+1R,success,6.576710332999937,,3x4+1R,12,0.6354109347960084,0.8781467554410499,0.8665510612105226,0.6547004235310846,0.492656523718247,0.1047125209341632,4.852441082125303,0.8744661912473093
photos_samsung,10,photos_samsung/img_10_page_0.jpeg,LPAE_04827_hr,3x4+1R,success,7.603812832996482,,3x4+1R,12,0.6801829741293629,0.9382656847715233,0.9202537510947234,0.801927797498399,0.35121094121574026,0.08327805721212064,6.7595864429162145,0.8777814944054045
photos_scans,10,photos_scans/img_10_page_0.jpeg,LPAE_04827_hr,3x4+1R,success,14.407132417007233,,3x4+1R,12,0.9765015348103409,0.9711376564525918,0.9648119927795227,0.9095511156345724,0.2402325497364482,0.07524819084210066,8.804143504003456,0.9096732014933537
photos_screens,10,photos_screens/img_10_page_0.jpeg,LPAE_04827_hr,3x4+1R,success,8.297387750004418,,3x4+1R,12,0.5507475676558138,0.816877129242956,0.7914184585767402,0.557485379858232,0.6040063293511646,0.10731239225091425,3.507147848115555,0.8351162090418146
photos_bents,14,photos_bents/img_14_page_0.jpeg,LPAE_17226_hr,3x4+1R,success,14.513458708999678,,3x4+1R,12,-0.06044305472533355,0.1640806622460213,0.19961697617905141,-0.17107143709299855,1.2929511546149448,0.2878218475863441,-1.7551135702530027,0.884710371478228
photos_crumbles,14,photos_crumbles/img_14_page_0.jpeg,LPAE_17226_hr,3x4+1R,success,9.106485790995066,,3x4+1R,12,0.4959008597069539,0.3199737406969275,0.35934794165084627,0.03175936446848586,1.1661794361807791,0.2829631246759269,-0.376369080628949,0.7999233447322608
photos_doogee,14,photos_doogee/img_14_page_0.jpeg,LPAE_17226_hr,3x4+1R,success,8.334136292003677,,3x4+1R,11,0.9042468834989933,0.8553520877499081,0.734947371383578,0.0,0.5370341036257137,0.14926766986449366,5.20976603974251,0.8928334584243214
