category,image_id,ecg_id,baseline_status,candidate_status,status_changed,median_correlation_delta,median_rmse_mv_delta,median_snr_db_delta,median_gain_error_delta,elapsed_seconds_delta,baseline_quality_gate,candidate_quality_gate
photos_samsung,92,LPAE_14680_hr,success,success,False,0.0,0.0,0.0,0.0,-16.16698762499982,warn,warn
photos_scans,92,LPAE_14680_hr,success,success,False,0.0,0.0,0.0,0.0,-5.745272709002165,accept,accept
photos_screens,92,LPAE_14680_hr,success,success,False,-0.0005705194842745009,0.0004189661188887528,0.0005944384285119231,-3.4081905075922236e-09,-19.661660125007984,warn,warn
photos_bents,14,LPAE_17226_hr,success,success,False,-0.0016525089132388981,0.018737864305033602,-1.095309109365068,-0.08608451590441124,0.10269537400563422,reject,reject
photos_crumbles,14,LPAE_17226_hr,success,success,False,-0.1741613009022825,0.09879156159196145,-0.014337956446404898,0.3850048365909515,52.88671425000575,reject,reject
photos_doogee,14,LPAE_17226_hr,success,success,False,-0.009216460635496082,-0.011729882930231056,-0.5008432151230204,-0.024052340340009914,0.5260388759907073,warn,accept
photos_iphone,14,LPAE_17226_hr,success,success,False,1.2750736577693544e-09,-0.0004649283789628367,9.211953866383737e-09,-1.4135476122945079e-09,-0.13029549900420534,warn,warn
photos_samsung,14,LPAE_17226_hr,success,success,False,0.019881272433059483,-0.0008002667742817438,0.29312680900912635,0.004475023337246586,-4.247305125987623,accept,accept
photos_scans,14,LPAE_17226_hr,success,success,False,-6.207798665092135e-05,0.0024666524944249035,-4.405980646993157e-08,-8.928416894704583e-09,-0.5583802089877281,warn,warn
photos_screens,14,LPAE_17226_hr,success,success,False,0.0027574847454046036,-0.00019853572652547835,0.1537226129364493,0.015997575376491824,-1.5439065840018884,reject,reject
photos_bents,82,LPAE_19269_hr,success,success,False,-0.0003072553372560072,-0.0004522461896033225,-0.004061945158746555,0.005792426392680072,-1.8874290839939931,reject,reject
photos_crumbles,82,LPAE_19269_hr,success,success,False,-0.012043744036599358,-0.001177491364028227,-0.1407021440508116,-0.006377530026732803,-4.383500957999786,reject,reject
photos_doogee,82,LPAE_19269_hr,success,success,False,0.0,0.0,0.0,0.0,-0.5908712500095135,warn,warn
photos_iphone,82,LPAE_19269_hr,success,success,False,0.0,0.0,0.0,0.0,-6.675776457988832,reject,reject
photos_samsung,82,LPAE_19269_hr,success,success,False,-0.0023371451661158282,0.0035964512200555576,-0.3444774397902104,0.0007244705322225764,-3.8649954160009656,accept,accept
photos_scans,82,LPAE_19269_hr,success,success,False,0.0,0.0,0.0,0.0,-2.3189323760016123,accept,accept
photos_screens,82,LPAE_19269_hr,success,success,False,-1.8695135439728006e-09,8.884097346673059e-10,-0.04749288232774962,-1.6158459015258586e-09,-4.931783166006426,warn,warn
photos_bents,80,LPAE_19394_hr,success,success,False,0.0,0.0,0.0,0.0,-2.0903496250048192,reject,reject
photos_crumbles,80,LPAE_19394_hr,success,success,False,-0.027951933102775106,0.0,-0.35844498181266715,-0.0007404259177686834,0.19791399900168472,reject,reject
photos_doogee,80,LPAE_19394_hr,success,success,False,-3.8694469850497626e-10,0.0,4.2582769310683943e-08,-0.014348230115138083,-0.8165678329896764,warn,warn
photos_iphone,80,LPAE_19394_hr,success,success,False,0.0,0.0,0.0,0.0,-0.0310732910020306,warn,warn
photos_samsung,80,LPAE_19394_hr,success,success,False,0.0,0.0,0.0,0.0,-0.13795583400860778,reject,reject
photos_scans,80,LPAE_19394_hr,success,success,False,0.0,0.0,0.0,0.0,-0.41551820800304995,warn,warn
photos_screens,80,LPAE_19394_hr,success,success,False,0.0008369880822033382,-8.083418795434838e-10,-0.0089165496583834,0.0,-0.4380152919966349,reject,reject
photos_bents,4,LPAE_20999_hr,success,success,False,0.0,0.0,0.0,0.0,-0.3753995419956482,reject,reject
photos_crumbles,4,LPAE_20999_hr,success,success,False,-0.6207899202979821,0.10059140398453292,-4.580402068442256,-0.0010865819502037244,8.82211745800123,reject,reject
photos_doogee,4,LPAE_20999_hr,success,success,False,0.0,0.0,0.0,0.0,1.0108374180017563,warn,warn
photos_iphone,4,LPAE_20999_hr,success,success,False,0.0,0.0,0.0,0.0,1.3142739589984558,reject,reject
photos_samsung,4,LPAE_20999_hr,success,success,False,0.0,0.0,0.0,0.0,0.3286325420031062,warn,warn
photos_scans,4,LPAE_20999_hr,success,success,False,0.0,0.0,0.0,0.0,0.48687191699718824,warn,warn
photos_screens,4,LPAE_20999_hr,success,success,False,0.0,0.0,0.0,0.0,-0.07771241599220957,warn,warn
