category,role,total,successful,failed,baseline_n,baseline_mean_cosine_similarity,baseline_median_cosine_similarity,baseline_mean_cosine_similarity_ci95,baseline_mean_abs_probability_difference,baseline_mean_agreement_rate,baseline_mean_agreement_rate_ci95,candidate_n,candidate_mean_cosine_similarity,candidate_median_cosine_similarity,candidate_mean_cosine_similarity_ci95,candidate_mean_abs_probability_difference,candidate_mean_agreement_rate,candidate_mean_agreement_rate_ci95,delta_mean_cosine_similarity,delta_mean_abs_probability_difference,delta_mean_agreement_rate
photos_bents,target,10,10,0,10,0.8140941560268402,0.8132363557815552,"{'low': 0.7688265359401704, 'high': 0.8594888782501221, 'resamples': 2000}",0.0669478178024292,0.9513333333333334,"{'low': 0.942, 'high': 0.96, 'resamples': 2000}",10,0.8476860165596009,0.8495100140571594,"{'low': 0.8058127178251744, 'high': 0.8893221260607242, 'resamples': 2000}",0.05832222402095795,0.962,"{'low': 0.9526666666666668, 'high': 0.9693333333333334, 'resamples': 2000}",0.03359186053276064,-0.00862559378147125,0.010666666666666602
photos_crumbles,target,10,10,0,10,0.8441473245620728,0.8491958975791931,"{'low': 0.7997005119919777, 'high': 0.8831302644312382, 'resamples': 2000}",0.06125608682632446,0.96,"{'low': 0.9493333333333333, 'high': 0.9686833333333333, 'resamples': 2000}",10,0.8586868584156037,0.8703088462352753,"{'low': 0.8056952041387557, 'high': 0.9087313717603683, 'resamples': 2000}",0.055135583877563475,0.968,"{'low': 0.9579999999999999, 'high': 0.9786666666666667, 'resamples': 2000}",0.014539533853530906,-0.006120502948760986,0.008000000000000007
photos_doogee,supported,10,10,0,10,0.9401152551174163,0.9540530145168304,"{'low': 0.9167297104001045, 'high': 0.9622357879579067, 'resamples': 2000}",0.03468577899038792,0.9753333333333334,"{'low': 0.9686666666666668, 'high': 0.9826666666666666, 'resamples': 2000}",10,0.9695219337940216,0.9832627475261688,"{'low': 0.9435290287435055, 'high': 0.986706063747406, 'resamples': 2000}",0.019894292671233417,0.9860000000000001,"{'low': 0.9773333333333334, 'high': 0.9933333333333334, 'resamples': 2000}",0.02940667867660529,-0.014791486319154501,0.010666666666666713
photos_iphone,supported,10,10,0,10,0.928605592250824,0.9541405737400055,"{'low': 0.8915665580332279, 'high': 0.9585645350813865, 'resamples': 2000}",0.03707939758896828,0.9726666666666667,"{'low': 0.9673333333333332, 'high': 0.9773333333333334, 'resamples': 2000}",10,0.9547305583953858,0.9742881953716278,"{'low': 0.9295402431488037, 'high': 0.9765478852391243, 'resamples': 2000}",0.027587215043604375,0.9833333333333334,"{'low': 0.976, 'high': 0.9906666666666666, 'resamples': 2000}",0.026124966144561834,-0.009492182545363902,0.010666666666666713
photos_samsung,supported,10,10,0,10,0.9430276453495026,0.9554869830608368,"{'low': 0.9239393073320389, 'high': 0.9598204152286053, 'resamples': 2000}",0.03371044769883156,0.9746666666666666,"{'low': 0.9673333333333332, 'high': 0.9826666666666666, 'resamples': 2000}",10,0.9718407392501831,0.9800398349761963,"{'low': 0.9548720024526118, 'high': 0.9844549545645714, 'resamples': 2000}",0.021509763784706593,0.9833333333333334,"{'low': 0.9753333333333332, 'high': 0.99, 'resamples': 2000}",0.028813093900680542,-0.012200683914124967,0.008666666666666822
photos_scans,supported,10,10,0,10,0.9102641046047211,0.9525842666625977,"{'low': 0.8478358094394207, 'high': 0.959690861403942, 'resamples': 2000}",0.038325364142656325,0.9713333333333333,"{'low': 0.9593333333333331, 'high': 0.9813333333333333, 'resamples': 2000}",10,0.9432905316352844,0.9832512736320496,"{'low': 0.8903846681118012, 'high': 0.9813392587006092, 'resamples': 2000}",0.02795132203027606,0.9866666666666667,"{'low': 0.9766666666666668, 'high': 0.9953333333333333, 'resamples': 2000}",0.033026427030563354,-0.010374042112380265,0.015333333333333421
photos_screens,unclassified,10,10,0,10,0.8771619319915771,0.8773485720157623,"{'low': 0.8453189228475094, 'high': 0.9067353484034538, 'resamples': 2000}",0.05482474267482758,0.9620000000000001,"{'low': 0.9533333333333334, 'high': 0.9706833333333332, 'resamples': 2000}",10,0.920911830663681,0.9358311295509338,"{'low': 0.8909324797987938, 'high': 0.9485760305821895, 'resamples': 2000}",0.03963287528604269,0.9719999999999999,"{'low': 0.962, 'high': 0.9813333333333333, 'resamples': 2000}",0.04374989867210388,-0.015191867388784891,0.009999999999999787
