category,image_id,ecg_id,baseline_status,candidate_status,status_changed,median_correlation_delta,median_rmse_mv_delta,median_snr_db_delta,median_gain_error_delta,elapsed_seconds_delta,baseline_quality_gate,candidate_quality_gate
photos_screens,10,LPAE_04827_hr,success,success,False,0.01929057275161772,-0.0016953095687961273,0.038092052666694354,0.006377439873109236,2.8355957500043587,warn,warn
photos_bents,40,LPAE_09275_hr,success,success,False,0.007231555111033572,-0.004721509446460992,-0.002902091366181303,-0.004705428754474106,2.988826208998944,reject,reject
photos_crumbles,40,LPAE_09275_hr,success,success,False,0.46466972588153,-0.10244840642685077,4.008684183139428,0.027415222670004624,2.634008207996885,reject,reject
photos_doogee,40,LPAE_09275_hr,success,success,False,-0.0007878909404817058,0.00013217498882314022,0.02184069432901481,0.001227359843965825,3.59230454200042,accept,accept
photos_iphone,40,LPAE_09275_hr,success,success,False,-0.000279514494989308,0.0001675890147276593,0.01457626098909337,0.001450228339788473,0.43610629200156836,warn,warn
photos_samsung,40,LPAE_09275_hr,success,success,False,-0.0008467720242048005,-0.00112611751238844,0.2503433590090438,0.0007377281414786552,1.3235954159881658,accept,accept
photos_scans,40,LPAE_09275_hr,success,success,False,0.0,0.0,0.0,0.0,1.8867452499962383,warn,warn
photos_screens,40,LPAE_09275_hr,success,success,False,0.019482768258928806,-0.0011804348168122647,0.15446386155263536,0.00488961447541314,3.1323713330039027,reject,reject
photos_bents,42,LPAE_09545_hr,success,success,False,0.0019539952604468724,0.00027334736430056905,-0.035254866407484764,-0.006116498240871793,-1.6989585409955907,reject,reject
photos_crumbles,42,LPAE_09545_hr,success,success,False,0.06921213270357274,-0.0021117097535010287,0.13458303118485931,-0.002539239259510273,5.200625792005667,reject,reject
photos_doogee,42,LPAE_09545_hr,success,success,False,-0.0008778730210514674,0.00043053187194420917,0.011741071757860766,0.003589237612741325,1.094333542010645,accept,accept
photos_iphone,42,LPAE_09545_hr,success,success,False,0.0058355453400267265,-0.0020622089424569,0.20832247077745425,0.0012300693663906959,2.695148998993318,warn,warn
photos_samsung,42,LPAE_09545_hr,success,success,False,0.0,0.0,0.0,0.0,2.1893952089994855,accept,accept
photos_scans,42,LPAE_09545_hr,success,success,False,0.0,0.0,0.0,0.0,1.9426064590115857,reject,reject
photos_screens,42,LPAE_09545_hr,success,success,False,-0.5336615673652497,0.09335971535403234,-4.567462580344592,0.04294085057644614,-3.2342283749967464,warn,reject
photos_bents,43,LPAE_09754_hr,success,success,False,0.012142791722258628,-0.0018119610561578847,0.15461099804736955,-0.0007185048349903633,7.206522542004677,warn,warn
photos_crumbles,43,LPAE_09754_hr,success,success,False,-0.025091278176151643,0.021478203934277407,0.1307709826861101,-0.0018741668550953383,6.281143832997259,warn,reject
photos_doogee,43,LPAE_09754_hr,success,success,False,-0.007386334638500136,-0.0016655909714432537,-0.3575449349658797,0.0002509419865689422,2.6359866250058985,accept,accept
photos_iphone,43,LPAE_09754_hr,success,success,False,0.0030686286703244248,0.00043215284262786147,0.3505470414841465,-0.000290680683092126,-2.813479999995252,warn,accept
photos_samsung,43,LPAE_09754_hr,success,success,False,-0.005710718104798396,0.0009866636150334604,-0.014312520515233018,0.00825727061941095,5.581584750012553,warn,warn
photos_scans,43,LPAE_09754_hr,success,success,False,1.393624105006097e-10,6.125187579364422e-10,0.10101434155826361,-0.00014122077498301966,2.0251935830056027,warn,warn
photos_screens,43,LPAE_09754_hr,success,success,False,-0.0014790732030731668,-0.0028448318904695236,-0.05255289419598519,0.0026590506989856433,3.5088458340032957,warn,warn
photos_bents,92,LPAE_14680_hr,success,success,False,-0.04061354104447343,0.0033556384765942304,-0.30192765313299574,-0.036279622118276955,-20.516508874001374,reject,reject
